SN2D: Discrete ordinates transport code

Version : v0.1.3
Author  : Kyle H. Hansen

2026/02/04 19:23:36
../examples/hw1

---- Input data ----

Discrete Ordinates/Octant
n          mu          eta         w
1          0.577350   0.577350   0.250000   

Boundary Conditions
Left    Right   Bottom  Top 
0       0       0       0       

Computational Cell data
i  j  Material  dx    dy    SigmaT    SigmaS    Source
1  1  1         0.1   0.2   1.000000  0.500000  0.000000
1  2  1         0.1   0.1   1.000000  0.500000  0.000000
1  3  1         0.1   0.1   1.000000  0.500000  0.000000
1  4  1         0.1   0.1   1.000000  0.500000  0.000000
1  5  1         0.1   0.1   1.000000  0.500000  0.000000
1  6  1         0.1   0.1   1.000000  0.500000  0.000000
1  7  1         0.1   0.1   1.000000  0.500000  0.000000
1  8  1         0.1   0.1   1.000000  0.500000  0.000000
1  9  1         0.1   0.1   1.000000  0.500000  0.000000
1  10 1         0.1   0.1   1.000000  0.500000  0.000000
2  1  1         0.1   0.2   1.000000  0.500000  0.000000
2  2  1         0.1   0.1   1.000000  0.500000  0.000000
2  3  1         0.1   0.1   1.000000  0.500000  0.000000
2  4  1         0.1   0.1   1.000000  0.500000  0.000000
2  5  1         0.1   0.1   1.000000  0.500000  0.000000
2  6  1         0.1   0.1   1.000000  0.500000  0.000000
2  7  1         0.1   0.1   1.000000  0.500000  0.000000
2  8  1         0.1   0.1   1.000000  0.500000  0.000000
2  9  1         0.1   0.1   1.000000  0.500000  0.000000
2  10 1         0.1   0.1   1.000000  0.500000  0.000000
3  1  1         0.1   0.2   1.000000  0.500000  0.000000
3  2  1         0.1   0.1   1.000000  0.500000  0.000000
3  3  1         0.1   0.1   1.000000  0.500000  0.000000
3  4  1         0.1   0.1   1.000000  0.500000  0.000000
3  5  1         0.1   0.1   1.000000  0.500000  0.000000
3  6  1         0.1   0.1   1.000000  0.500000  0.000000
3  7  1         0.1   0.1   1.000000  0.500000  0.000000
3  8  1         0.1   0.1   1.000000  0.500000  0.000000
3  9  1         0.1   0.1   1.000000  0.500000  0.000000
3  10 1         0.1   0.1   1.000000  0.500000  0.000000
4  1  1         0.1   0.2   1.000000  0.500000  0.000000
4  2  1         0.1   0.1   1.000000  0.500000  0.000000
4  3  1         0.1   0.1   1.000000  0.500000  0.000000
4  4  2         0.1   0.1   2.000000  0.100000  1.000000
4  5  2         0.1   0.1   2.000000  0.100000  1.000000
4  6  2         0.1   0.1   2.000000  0.100000  1.000000
4  7  2         0.1   0.1   2.000000  0.100000  1.000000
4  8  1         0.1   0.1   1.000000  0.500000  0.000000
4  9  1         0.1   0.1   1.000000  0.500000  0.000000
4  10 1         0.1   0.1   1.000000  0.500000  0.000000
5  1  1         0.1   0.2   1.000000  0.500000  0.000000
5  2  1         0.1   0.1   1.000000  0.500000  0.000000
5  3  1         0.1   0.1   1.000000  0.500000  0.000000
5  4  2         0.1   0.1   2.000000  0.100000  1.000000
5  5  2         0.1   0.1   2.000000  0.100000  1.000000
5  6  2         0.1   0.1   2.000000  0.100000  1.000000
5  7  2         0.1   0.1   2.000000  0.100000  1.000000
5  8  1         0.1   0.1   1.000000  0.500000  0.000000
5  9  1         0.1   0.1   1.000000  0.500000  0.000000
5  10 1         0.1   0.1   1.000000  0.500000  0.000000
6  1  1         0.1   0.2   1.000000  0.500000  0.000000
6  2  1         0.1   0.1   1.000000  0.500000  0.000000
6  3  1         0.1   0.1   1.000000  0.500000  0.000000
6  4  2         0.1   0.1   2.000000  0.100000  1.000000
6  5  2         0.1   0.1   2.000000  0.100000  1.000000
6  6  2         0.1   0.1   2.000000  0.100000  1.000000
6  7  2         0.1   0.1   2.000000  0.100000  1.000000
6  8  1         0.1   0.1   1.000000  0.500000  0.000000
6  9  1         0.1   0.1   1.000000  0.500000  0.000000
6  10 1         0.1   0.1   1.000000  0.500000  0.000000
7  1  1         0.1   0.2   1.000000  0.500000  0.000000
7  2  1         0.1   0.1   1.000000  0.500000  0.000000
7  3  1         0.1   0.1   1.000000  0.500000  0.000000
7  4  2         0.1   0.1   2.000000  0.100000  1.000000
7  5  2         0.1   0.1   2.000000  0.100000  1.000000
7  6  2         0.1   0.1   2.000000  0.100000  1.000000
7  7  2         0.1   0.1   2.000000  0.100000  1.000000
7  8  1         0.1   0.1   1.000000  0.500000  0.000000
7  9  1         0.1   0.1   1.000000  0.500000  0.000000
7  10 1         0.1   0.1   1.000000  0.500000  0.000000
8  1  1         0.1   0.2   1.000000  0.500000  0.000000
8  2  1         0.1   0.1   1.000000  0.500000  0.000000
8  3  1         0.1   0.1   1.000000  0.500000  0.000000
8  4  1         0.1   0.1   1.000000  0.500000  0.000000
8  5  1         0.1   0.1   1.000000  0.500000  0.000000
8  6  1         0.1   0.1   1.000000  0.500000  0.000000
8  7  1         0.1   0.1   1.000000  0.500000  0.000000
8  8  1         0.1   0.1   1.000000  0.500000  0.000000
8  9  1         0.1   0.1   1.000000  0.500000  0.000000
8  10 1         0.1   0.1   1.000000  0.500000  0.000000
9  1  1         0.1   0.2   1.000000  0.500000  0.000000
9  2  1         0.1   0.1   1.000000  0.500000  0.000000
9  3  1         0.1   0.1   1.000000  0.500000  0.000000
9  4  1         0.1   0.1   1.000000  0.500000  0.000000
9  5  1         0.1   0.1   1.000000  0.500000  0.000000
9  6  1         0.1   0.1   1.000000  0.500000  0.000000
9  7  1         0.1   0.1   1.000000  0.500000  0.000000
9  8  1         0.1   0.1   1.000000  0.500000  0.000000
9  9  1         0.1   0.1   1.000000  0.500000  0.000000
9  10 1         0.1   0.1   1.000000  0.500000  0.000000
10 1  1         0.1   0.2   1.000000  0.500000  0.000000
10 2  1         0.1   0.1   1.000000  0.500000  0.000000
10 3  1         0.1   0.1   1.000000  0.500000  0.000000
10 4  1         0.1   0.1   1.000000  0.500000  0.000000
10 5  1         0.1   0.1   1.000000  0.500000  0.000000
10 6  1         0.1   0.1   1.000000  0.500000  0.000000
10 7  1         0.1   0.1   1.000000  0.500000  0.000000
10 8  1         0.1   0.1   1.000000  0.500000  0.000000
10 9  1         0.1   0.1   1.000000  0.500000  0.000000
10 10 1         0.1   0.1   1.000000  0.500000  0.000000
